title,actor,actress
Down to You,"Prinze Jr., Freddie","Stiles, Julia"
Down with Love,"McGregor, Ewan","Zellweger, Renée"
Dr. Dolittle 2,"Murphy, Eddie","Wilson, Kristen"
Dr. T and the Women,"Gere, Richard","Hunt, Helen"
Dracula Untold,"Evans, Luke","Gadon, Sarah"
Drag Me to Hell,"Long, Justin","Lohman, Alison"
Dragonfly,"Costner, Kevin","Thompson, Susanna"
Dream House,"Craig, Daniel","Watts, Naomi"
Dreamgirls,"Foxx, Jamie","Knowles, Beyoncé"
Drinking Buddies,"Johnson, Jake","Wilde, Olivia"
Drive,"Gosling, Ryan","Mulligan, Carey"
Drive Angry,"Cage, Nicolas","Heard, Amber"
Drowning Mona,"DeVito, Danny","Midler, Bette"
Drumline,"Cannon, Nick","Saldana, Zoe"
Dumb and Dumberer: When Harry Met Lloyd,"Stack, Timothy","Rogers, Mimi"
Duplex,"Stiller, Ben","Barrymore, Drew"
Duplicity,"Owen, Clive","Roberts, Julia"
Dylan Dog: Dead of Night,"Routh, Brandon","Briem, Anita"
Eagle Eye,"LaBeouf, Shia","Monaghan, Michelle"
Easy A,"Badgley, Penn","Stone, Emma"
Edge of Tomorrow,"Cruise, Tom","Blunt, Emily"
Eight Crazy Nights,"Sandler, Adam","Sandler, Jackie"
Eight Legged Freaks,"Arquette, David","Wuhrer, Kari"
Elegy,"Kingsley, Ben","Cruz, Penélope"
Elektra,"Visnjic, Goran","Garner, Jennifer"
Eliza Graves,"Sturgess, Jim","Beckinsale, Kate"
Elizabethtown,"Bloom, Orlando","Dunst, Kirsten"
Ella Enchanted,"Dancy, Hugh","Hathaway, Anne"
Elysium,"Damon, Matt","Foster, Jodie"
Employee of the Month,"Cook, Dane","Simpson, Jessica"
Enchanted,"Dempsey, Patrick","Adams, Amy"
Endless Love,"Pettyfer, Alex","Wilde, Gabriella"
Enigma,"Scott, Dougray","Winslet, Kate"
Enough,"Campbell, Billy","Lopez, Jennifer"
Erin Brockovich,"Brisbin, David","Roberts, Julia"
Eternal Sunshine of the Spotless Mind,"Carrey, Jim","Winslet, Kate"
Everybody's Fine,"De Niro, Robert","Barrymore, Drew"
Evil Dead,"Fernandez, Shiloh","Levy, Jane"
Evolution,"Duchovny, David","Moore, Julianne"
Exorcist: The Beginning,"Skarsgård, Stellan","Scorupco, Izabella"
Extract,"Bateman, Jason","Kunis, Mila"
Faces in the Crowd,"McMahon, Julian","Jovovich, Milla"
Factory Girl,"Pearce, Guy","Miller, Sienna"
Factotum,"Dillon, Matt","Taylor, Lili"
Failure to Launch,"McConaughey, Matthew","Parker, Sarah Jessica"
Fame,"Perez, Walter","Panabaker, Kay"
Fantastic Four,"Gruffudd, Ioan","Alba, Jessica"
Fantastic Mr. Fox,"Clooney, George","Streep, Meryl"
Far from Heaven,"Quaid, Dennis","Moore, Julianne"
Far from the Madding Crowd,"Schoenaerts, Matthias","Mulligan, Carey"
Fast Food Nation,"Valderrama, Wilmer","Moreno, Catalina Sandino"
Fast Track,"Braff, Zach","Peet, Amanda"
Feardotcom,"Dorff, Stephen","McElhone, Natascha"
Felon,"Dorff, Stephen","Nichols, Marisol"
Fever Pitch,"Fallon, Jimmy","Barrymore, Drew"
Fifty Shades of Grey,"Dornan, Jamie","Johnson, Dakota"
Final Destination,"Sawa, Devon","Larter, Ali"
Final Destination 3,"Merriman, Ryan","Winstead, Mary Elizabeth"
Final Destination 5,"D'Agosto, Nicholas","Bell, Emma"
Final Fantasy: The Spirits Within,"Baldwin, Alec","Wen, Ming-Na"
Finding Neverland,"Depp, Johnny","Winslet, Kate"
Fireproof,"Cameron, Kirk","Bethea, Erin"
Firewall,"Ford, Harrison","Madsen, Virginia"
First Daughter,"Blucas, Marc","Holmes, Katie"
Five Minarets in New York,"Bilginer, Haluk","Gershon, Gina"
Flight,"Washington, Denzel","Velazquez, Nadine"
Flightplan,"Sarsgaard, Peter","Foster, Jodie"
Flushed Away,"Jackman, Hugh","Winslet, Kate"
Flypaper,"Dempsey, Patrick","Judd, Ashley"
Focus,"Smith, Will","Robbie, Margot"
Fool's Gold,"McConaughey, Matthew","Hudson, Kate"
Footloose,"Wormald, Kenny","Hough, Julianne"
For Your Consideration,"Rannazzisi, Stephen","O'Hara, Catherine"
Forgetting Sarah Marshall,"Segel, Jason","Bell, Kristen"
Four Christmases,"Vaughn, Vince","Witherspoon, Reese"
Frankenweenie,"Short, Martin","O'Hara, Catherine"
Freedom Writers,"Dempsey, Patrick","Swank, Hilary"
Freedomland,"Jackson, Samuel L.","Moore, Julianne"
Frida,"Molina, Alfred","Hayek, Salma"
Friday the 13th,"Padalecki, Jared","Panabaker, Danielle"
Friends with Benefits,"Timberlake, Justin","Kunis, Mila"
Friends with Kids,"Scott, Adam","Westfeldt, Jennifer"
Friends with Money,"Isaacs, Jason","Keener, Catherine"
From Hell,"Depp, Johnny","Graham, Heather"
From Justin to Kelly,"Guarini, Justin","Clarkson, Kelly"
Frozen,"Ashmore, Shawn","Bell, Emma"
Fruitvale Station,"Jordan, Michael B.","Diaz, Melonie"
Fun with Dick and Jane,"Carrey, Jim","Leoni, Téa"
Funny Games,"Roth, Tim","Watts, Naomi"
Fur: An Imaginary Portrait of Diane Arbus,"Downey Jr., Robert","Kidman, Nicole"
Gamer,"Butler, Gerard","Valletta, Amber"
Garfield,"Meyer, Breckin","Hewitt, Jennifer Love"
Garfield: A Tail of Two Kitties,"Meyer, Breckin","Hewitt, Jennifer Love"
Get Carter,"Stallone, Sylvester","Richardson, Miranda"
Get Him to the Greek,"Brand, Russell","Byrne, Rose"
Get Low,"Duvall, Robert","Spacek, Sissy"
Get Over It,"Foster, Ben","Dunst, Kirsten"
Get Smart,"Carell, Steve","Hathaway, Anne"
Getaway,"Hawke, Ethan","Gomez, Selena"
Ghost Rider,"Long, Matt","Alessi, Raquel"
Ghost Rider: Spirit of Vengeance,"Cage, Nicolas","Placido, Violante"
Ghost Ship,"Byrne, Gabriel","Margulies, Julianna"
Ghosts of Girlfriends Past,"McConaughey, Matthew","Garner, Jennifer"
Ghosts of Mars,Ice Cube,"Henstridge, Natasha"
Glitter,"Beesley, Max","Carey, Mariah"
Gnomeo & Juliet,"McAvoy, James","Blunt, Emily"
God Bless America,"Murray, Joel","Barr, Tara Lynne"
Godsend,"Kinnear, Greg","Romijn, Rebecca"
Going the Distance,"Long, Justin","Barrymore, Drew"
Gone,"Sunjata, Daniel","Seyfried, Amanda"
Gone Baby Gone,"Affleck, Casey","Monaghan, Michelle"
Gone Girl,"Affleck, Ben","Pike, Rosamund"
Gosford Park,"Gambon, Michael","Smith, Maggie"
Gossip,"Marsden, James","Headey, Lena"
Gothika,"Downey Jr., Robert","Berry, Halle"
Goya's Ghosts,"Bardem, Javier","Portman, Natalie"
Grace of Monaco,"Roth, Tim","Kidman, Nicole"
Grandma's Boy,"Covert, Allen","Cardellini, Linda"
Gravity,"Clooney, George","Bullock, Sandra"
Green Lantern,"Reynolds, Ryan","Lively, Blake"
Grindhouse,"Russell, Kurt","Bell, Zoë"
Guardians of the Galaxy,"Pratt, Chris","Saldana, Zoe"
Hachi: A Dog's Tale,"Gere, Richard","Allen, Joan"
Hairspray,"Travolta, John","Pfeiffer, Michelle"
Halloween: Resurrection,"Loree, Brad","Curtis, Jamie Lee"
Hamlet 2,"Coogan, Steve","Keener, Catherine"
Hancock,"Smith, Will","Theron, Charlize"
Hannibal,"Hopkins, Anthony","Moore, Julianne"
Hansel & Gretel: Witch Hunters,"Renner, Jeremy","Arterton, Gemma"
Hard Ball,"Reeves, Keanu","Lane, Diane"
Hard Candy,"Wilson, Patrick","Page, Ellen"
Harry Potter and the Deathly Hallows: Part 1,"Nighy, Bill","Watson, Emma"
Harry Potter and the Sorcerer's Stone,"Harris, Richard","Smith, Maggie"
Hatchet,"Moore, Joel David","Feldman, Tamara"
Haywire,"Angarano, Michael","Carano, Gina"
Head Over Heels,"Prinze Jr., Freddie","Potter, Monica"
Heaven,"Ribisi, Giovanni","Blanchett, Cate"
Heaven Is for Real,"Kinnear, Greg","Reilly, Kelly"
Hedwig and the Angry Inch,"Mitchell, John Cameron","Shor, Miriam"
Hell Ride,"Bishop, Larry","Jones, Julia"
Hellboy II: The Golden Army,"Perlman, Ron","Blair, Selma"
Henry Poole Is Here,"Wilson, Luke","Mitchell, Radha"
Henry's Crime,"Reeves, Keanu","Greer, Judy"
Her,"Phoenix, Joaquin","Adrianna, Lynn"
Herbie Fully Loaded,"Keaton, Michael","Lohan, Lindsay"
Here Comes the Boom,"James, Kevin","Hayek, Salma"
Hereafter,"Neuvic, Thierry","De France, Cécile"
Hidalgo,"Mortensen, Viggo","Robinson, Zuleikha"
High Crimes,"Freeman, Morgan","Judd, Ashley"
High Fidelity,"Cusack, John","Hjejle, Iben"
High School Musical 3: Senior Year,"Efron, Zac","Hudgens, Vanessa"
Hit and Run,"Shepard, Dax","Bell, Kristen"
Hitch,"Smith, Will","Mendes, Eva"
Hitchcock,"Hopkins, Anthony","Mirren, Helen"
Hitman: Agent 47,"Bakkedahl, Dan",Angelababy
Holes,"Voight, Jon","Weaver, Sigourney"
Hollow Man,"Bacon, Kevin","Shue, Elisabeth"
Hollywoodland,"Brody, Adrien","Lane, Diane"
Home,"Parsons, Jim",Rihanna
Home on the Range,"Bailey, G.W.","Barr, Roseanne"
Honey,"Phifer, Mekhi","Alba, Jessica"
Honeymoon,"Treadaway, Harry","Leslie, Rose"
Hope Springs,"Jones, Tommy Lee","Streep, Meryl"
Horsemen,"Quaid, Dennis","Zhang, Ziyi"
Hostel: Part II,"Bart, Roger","German, Lauren"
Hotel Chevalier,"Schwartzman, Jason","Portman, Natalie"
Hours,"Walker, Paul","Rodriguez, Genesis"
House at the End of the Street,"Thieriot, Max","Lawrence, Jennifer"
House of Sand and Fog,"Kingsley, Ben","Connelly, Jennifer"
House of Wax,"Murray, Chad Michael","Cuthbert, Elisha"
How Do You Know,"Rudd, Paul","Witherspoon, Reese"
How to Lose a Guy in 10 Days,"McConaughey, Matthew","Hudson, Kate"
How to Train Your Dragon 2,"Baruchel, Jay","Blanchett, Cate"
Hulk,"Bana, Eric","Connelly, Jennifer"
Human Nature,"Ifans, Rhys","Arquette, Patricia"
Hummingbird,"Statham, Jason","Buzek, Agata"
I Am Legend,"Smith, Will","Braga, Alice"
I Am Sam,"Penn, Sean","Pfeiffer, Michelle"
I Could Never Be Your Woman,"Rudd, Paul","Pfeiffer, Michelle"
I Don't Know How She Does It,"Brosnan, Pierce","Parker, Sarah Jessica"
I Heart Huckabees,"Schwartzman, Jason","Huppert, Isabelle"
"I Love You, Beth Cooper","Rust, Paul","Panettiere, Hayden"
"I Love You, Man","Rudd, Paul","Jones, Rashida"
I Spit on Your Grave,"Branson, Jeff","Butler, Sarah"
I Think I Love My Wife,"Rock, Chris","Washington, Kerry"
I'm Not There.,"Whishaw, Ben","Blanchett, Cate"
"I, Frankenstein","Eckhart, Aaron","Strahovski, Yvonne"
"I, Robot","Smith, Will","Moynahan, Bridget"
Identity Thief,"Bateman, Jason","McCarthy, Melissa"
Idiocracy,"Wilson, Luke","Rudolph, Maya"
If Only,"Nicholls, Paul","Hewitt, Jennifer Love"
Igby Goes Down,"Culkin, Kieran","Danes, Claire"
Igor,"Cusack, John","Klass, Myleene"
Impostor,"Sinise, Gary","Stowe, Madeleine"
In a World...,"Corddry, Rob","Bell, Lake"
In Her Shoes,"Mount, Anson","Diaz, Cameron"
In the Bedroom,"Wilkinson, Tom","Spacek, Sissy"
In the Land of Blood and Honey,"Kostic, Goran","Marjanovic, Zana"
In the Land of Women,"Brody, Adam","Anaya, Elena"
In the Name of the King: A Dungeon Siege Tale,"Statham, Jason","Sobieski, Leelee"
In the Valley of Elah,"Jones, Tommy Lee","Theron, Charlize"
In Time,"Timberlake, Justin","Wilde, Olivia"
Indiana Jones and the Kingdom of the Crystal Skull,"Ford, Harrison","Blanchett, Cate"
Infamous,"Jones, Toby","Weaver, Sigourney"
Inglourious Basterds,"Pitt, Brad","Laurent, Mélanie"
Inkheart,"Fraser, Brendan","Guillory, Sienna"
Inland Empire,"Irons, Jeremy","Dern, Laura"
Inside Llewyn Davis,"Isaac, Oscar","Mulligan, Carey"
Insidious,"Wilson, Patrick","Byrne, Rose"
Insidious: Chapter 2,"Wilson, Patrick","Byrne, Rose"
Insidious: Chapter 3,"Mulroney, Dermot","Scott, Stefanie"
Insurgent,"Courtney, Jai","Winslet, Kate"
Interstellar,"McConaughey, Matthew","Burstyn, Ellen"
Interview,"Buscemi, Steve","Miller, Sienna"
Into the Blue,"Walker, Paul","Alba, Jessica"
Into the Storm,"Armitage, Richard","Wayne Callies, Sarah"
Into the Wild,"Hirsch, Emile","Harden, Marcia Gay"
Intolerable Cruelty,"Clooney, George","Zeta-Jones, Catherine"
